Day of month,Date,Vent Temperature,Ambient Temperature,Difference in Temperature,Vent Open/Closed,Power(W),Energy(kWh),Total Energy(kWh)
26,"Mar 26, 2017 00:00:05",3.375,3.187,0.188,False,0,0,0
26,"Mar 26, 2017 00:01:05",3.375,3.187,0.188,False,0,0,0
26,"Mar 26, 2017 00:02:05",3.375,3.187,0.188,False,0,0,0
26,"Mar 26, 2017 00:03:05",3.375,3.125,0.25,False,0,0,0
26,"Mar 26, 2017 00:04:05",3.375,3.125,0.25,False,0,0,0
26,"Mar 26, 2017 00:05:05",3.375,3.125,0.25,False,0,0,0
26,"Mar 26, 2017 00:06:05",3.312,3.125,0.187,False,0,0,0
26,"Mar 26, 2017 00:07:05",3.312,3.125,0.187,False,0,0,0
26,"Mar 26, 2017 00:08:05",3.375,3.125,0.25,False,0,0,0
26,"Mar 26, 2017 00:09:06",3.375,3.125,0.25,False,0,0,0
26,"Mar 26, 2017 00:10:06",3.312,3.125,0.187,False,0,0,0
26,"Mar 26, 2017 00:11:06",3.312,3.125,0.187,False,0,0,0
26,"Mar 26, 2017 00:12:06",3.312,3.062,0.25,False,0,0,0
26,"Mar 26, 2017 00:13:06",3.312,3.125,0.187,False,0,0,0
26,"Mar 26, 2017 00:14:06",3.312,3.125,0.187,False,0,0,0
26,"Mar 26, 2017 00:15:06",3.312,3.062,0.25,False,0,0,0
26,"Mar 26, 2017 00:16:06",3.312,3.125,0.187,False,0,0,0
26,"Mar 26, 2017 00:17:06",3.312,3.062,0.25,False,0,0,0
26,"Mar 26, 2017 00:18:06",3.312,3.062,0.25,False,0,0,0
26,"Mar 26, 2017 00:19:06",3.312,3.062,0.25,False,0,0,0
26,"Mar 26, 2017 00:20:06",3.312,3.062,0.25,False,0,0,0
26,"Mar 26, 2017 00:21:06",3.312,3.062,0.25,False,0,0,0
26,"Mar 26, 2017 00:22:06",3.312,3.062,0.25,False,0,0,0
26,"Mar 26, 2017 00:23:06",3.312,3.062,0.25,False,0,0,0
26,"Mar 26, 2017 00:24:06",3.312,3.062,0.25,False,0,0,0
26,"Mar 26, 2017 00:25:06",3.312,3.062,0.25,False,0,0,0
26,"Mar 26, 2017 00:26:06",3.312,3.062,0.25,False,0,0,0
26,"Mar 26, 2017 00:27:06",3.25,3.062,0.188,False,0,0,0
26,"Mar 26, 2017 00:28:06",3.25,3.0,0.25,False,0,0,0
26,"Mar 26, 2017 00:29:06",3.25,3.0,0.25,False,0,0,0
26,"Mar 26, 2017 00:30:06",3.25,3.0,0.25,False,0,0,0
26,"Mar 26, 2017 00:31:06",3.25,3.062,0.188,False,0,0,0
26,"Mar 26, 2017 00:32:06",3.25,3.062,0.188,False,0,0,0
26,"Mar 26, 2017 00:33:06",3.25,3.0,0.25,False,0,0,0
26,"Mar 26, 2017 00:34:06",3.25,3.0,0.25,False,0,0,0
26,"Mar 26, 2017 00:35:06",3.25,3.062,0.188,False,0,0,0
26,"Mar 26, 2017 00:36:06",3.25,3.0,0.25,False,0,0,0
26,"Mar 26, 2017 00:37:06",3.187,3.0,0.187,False,0,0,0
26,"Mar 26, 2017 00:38:07",3.187,3.0,0.187,False,0,0,0
26,"Mar 26, 2017 00:39:07",3.187,3.0,0.187,False,0,0,0
26,"Mar 26, 2017 00:40:07",3.187,3.0,0.187,False,0,0,0
26,"Mar 26, 2017 00:41:07",3.187,2.937,0.25,False,0,0,0
26,"Mar 26, 2017 00:42:07",3.187,3.0,0.187,False,0,0,0
26,"Mar 26, 2017 00:43:07",3.187,3.0,0.187,False,0,0,0
26,"Mar 26, 2017 00:44:07",3.187,3.0,0.187,False,0,0,0
26,"Mar 26, 2017 00:45:07",3.187,3.0,0.187,False,0,0,0
26,"Mar 26, 2017 00:46:07",3.187,2.937,0.25,False,0,0,0
26,"Mar 26, 2017 00:47:07",3.187,3.0,0.187,False,0,0,0
26,"Mar 26, 2017 00:48:07",3.187,2.937,0.25,False,0,0,0
26,"Mar 26, 2017 00:49:07",3.187,2.937,0.25,False,0,0,0
26,"Mar 26, 2017 00:50:07",3.187,2.937,0.25,False,0,0,0
26,"Mar 26, 2017 00:51:07",3.125,2.937,0.188,False,0,0,0
26,"Mar 26, 2017 00:52:07",3.125,2.937,0.188,False,0,0,0
26,"Mar 26, 2017 00:53:07",3.125,2.937,0.188,False,0,0,0
26,"Mar 26, 2017 00:54:07",3.125,2.937,0.188,False,0,0,0
26,"Mar 26, 2017 00:55:07",3.125,2.937,0.188,False,0,0,0
26,"Mar 26, 2017 00:56:07",3.125,2.937,0.188,False,0,0,0
26,"Mar 26, 2017 00:57:07",3.125,2.937,0.188,False,0,0,0
26,"Mar 26, 2017 00:58:07",3.125,2.937,0.188,False,0,0,0
26,"Mar 26, 2017 00:59:07",3.125,2.875,0.25,False,0,0,0
26,"Mar 26, 2017 01:00:07",3.125,2.937,0.188,False,0,0,0
26,"Mar 26, 2017 01:01:07",3.062,2.875,0.187,False,0,0,0
26,"Mar 26, 2017 01:02:07",3.062,2.875,0.187,False,0,0,0
26,"Mar 26, 2017 01:03:07",3.062,2.875,0.187,False,0,0,0
26,"Mar 26, 2017 01:04:07",3.062,2.875,0.187,False,0,0,0
26,"Mar 26, 2017 01:05:07",3.062,2.875,0.187,False,0,0,0
26,"Mar 26, 2017 01:06:07",3.062,2.875,0.187,False,0,0,0
26,"Mar 26, 2017 01:07:07",3.062,2.875,0.187,False,0,0,0
26,"Mar 26, 2017 01:08:08",3.062,2.875,0.187,False,0,0,0
26,"Mar 26, 2017 01:09:08",3.062,2.875,0.187,False,0,0,0
