Day of month,Date,Vent Temperature,Ambient Temperature,Difference in Temperature,Vent Open/Closed,Power(W),Energy(kWh),Total Energy(kWh)
23,"Mar 23, 2017 13:11:51",22.562,22.062,0.5,True,26.438,0.001,0,Program has started
23,"Mar 23, 2017 13:11:53",22.625,22.062,0.563,True,29.769,0.002,0
23,"Mar 23, 2017 13:11:56",22.625,22.062,0.563,True,29.769,0.003,0
23,"Mar 23, 2017 13:12:04",22.562,22.062,0.5,True,26.438,0.001,0,Program has started
23,"Mar 23, 2017 13:12:07",22.625,22.062,0.563,True,29.769,0.002,0
23,"Mar 23, 2017 13:12:32",22.562,22.125,0.437,True,23.106,0.0,0,Program has started
23,"Mar 23, 2017 13:12:34",22.625,22.125,0.5,True,26.438,0.0,0
23,"Mar 23, 2017 13:12:51",22.625,22.125,0.5,True,26.438,0.001,0,Program has started
23,"Mar 23, 2017 13:12:53",22.625,22.187,0.438,True,23.159,0.001,0
23,"Mar 23, 2017 13:12:56",22.625,22.125,0.5,True,26.438,0.002,0
23,"Mar 23, 2017 13:13:08",22.625,22.187,0.438,True,23.159,0.001,0,Program has started
23,"Mar 23, 2017 13:13:10",22.625,22.187,0.438,False,0,0,0.001
23,"Mar 23, 2017 13:13:13",22.625,22.187,0.438,False,0,0,0
23,"Mar 23, 2017 13:13:17",22.625,22.187,0.438,False,0,0,0
23,"Mar 23, 2017 13:13:19",22.625,22.187,0.438,True,23.159,0.001,0
23,"Mar 23, 2017 13:13:50",22.625,22.062,0.563,False,0,0,0,Program has started
23,"Mar 23, 2017 13:14:33",22.625,21.937,0.688,False,0,0,0,Program has started
23,"Mar 23, 2017 13:15:46",22.625,21.75,0.875,False,0,0,0,Program has started
23,"Mar 23, 2017 13:16:20",22.625,21.75,0.875,False,0,0,0
23,"Mar 23, 2017 13:20:43",22.437,21.125,1.312,False,0,0,0,Program has started
23,"Mar 23, 2017 13:20:46",22.437,21.125,1.312,True,69.372,0.0,0
23,"Mar 23, 2017 13:20:49",22.437,21.125,1.312,True,69.372,0.0,0
23,"Mar 23, 2017 13:20:52",22.437,21.125,1.312,True,69.372,0.0,0
23,"Mar 23, 2017 13:20:54",22.437,21.125,1.312,True,69.372,0.0,0
23,"Mar 23, 2017 13:20:57",22.5,21.125,1.375,True,72.703,0.0,0
23,"Mar 23, 2017 13:21:00",22.75,21.125,1.625,True,85.922,0.0,0
23,"Mar 23, 2017 13:21:03",22.937,21.125,1.812,True,95.81,0.0,0
23,"Mar 23, 2017 13:21:06",23.187,21.125,2.062,True,109.028,0.0,0
23,"Mar 23, 2017 13:21:09",23.312,21.125,2.187,True,115.638,0.0,0
23,"Mar 23, 2017 13:21:12",23.312,21.125,2.187,True,115.638,0.0,0
23,"Mar 23, 2017 13:21:15",23.312,21.125,2.187,True,115.638,0.0,0
23,"Mar 23, 2017 13:21:18",23.312,21.125,2.187,True,115.638,0.0,0
23,"Mar 23, 2017 13:21:21",23.25,21.125,2.125,True,112.359,0.0,0
23,"Mar 23, 2017 13:21:24",23.25,21.125,2.125,True,112.359,0.0,0
23,"Mar 23, 2017 13:21:26",23.187,21.125,2.062,True,109.028,0.0,0
23,"Mar 23, 2017 13:21:29",23.187,21.125,2.062,True,109.028,0.0,0
23,"Mar 23, 2017 13:21:32",23.125,21.125,2.0,True,105.75,0.0,0
23,"Mar 23, 2017 13:21:35",23.125,21.125,2.0,True,105.75,0.0,0
23,"Mar 23, 2017 13:21:38",23.062,21.125,1.937,True,102.419,0.0,0
23,"Mar 23, 2017 13:21:41",23.062,21.125,1.937,True,102.419,0.0,0
23,"Mar 23, 2017 13:21:43",23.062,21.062,2.0,True,105.75,0.0,0
23,"Mar 23, 2017 13:21:46",23.062,21.125,1.937,True,102.419,0.0,0
23,"Mar 23, 2017 13:21:50",22.937,21.062,1.875,True,99.141,0.0,0
23,"Mar 23, 2017 13:21:54",22.937,21.125,1.812,True,95.81,0.0,0
