Date/Time,Vent Temperature,Ambient Temperature,Temperature Difference,Vent Position,Column5,Column6,Column7,Power Output (W),kWh Output,kWh Total
Wed Feb  1 15:00:46 2017,8.625,2.5,6.125,FALSE,,,,0,0,0
Wed Feb  1 15:01:46 2017,8.312,1.875,6.437,FALSE,,,,0,0,0
Wed Feb  1 15:02:46 2017,8.062,1.375,6.687,FALSE,,,,0,0,0
Wed Feb  1 15:03:46 2017,7.812,1,6.812,FALSE,,,,0,0,0
Wed Feb  1 15:04:46 2017,7.562,0.875,6.687,FALSE,,,,0,0,0
Wed Feb  1 15:05:46 2017,7.312,0.75,6.562,FALSE,,,,0,0,0
Wed Feb  1 15:06:46 2017,7.062,0.625,6.437,FALSE,,,,0,0,0
Wed Feb  1 15:07:47 2017,6.875,0.562,6.313,FALSE,,,,0,0,0
Wed Feb  1 15:08:47 2017,6.625,0.5,6.125,FALSE,,,,0,0,0
Wed Feb  1 15:09:47 2017,6.437,0.437,6,FALSE,,,,0,0,0
Wed Feb  1 15:10:47 2017,6.187,0.375,5.812,FALSE,,,,0,0,0
Wed Feb  1 15:11:47 2017,6,0.312,5.688,FALSE,,,,0,0,0
Wed Feb  1 15:12:47 2017,5.812,0.312,5.5,FALSE,,,,0,0,0
Wed Feb  1 15:13:47 2017,5.625,0.312,5.313,FALSE,,,,0,0,0
Wed Feb  1 15:14:47 2017,5.437,0.25,5.187,FALSE,,,,0,0,0
Wed Feb  1 15:15:47 2017,5.25,0.25,5,FALSE,,,,0,0,0
Wed Feb  1 15:16:47 2017,5.062,0.25,4.812,FALSE,,,,0,0,0
Wed Feb  1 15:17:47 2017,4.875,0.187,4.688,FALSE,,,,0,0,0
Wed Feb  1 15:18:47 2017,4.687,0.187,4.5,FALSE,,,,0,0,0
Wed Feb  1 15:19:47 2017,4.5,0.187,4.313,FALSE,,,,0,0,0
Wed Feb  1 15:20:47 2017,4.375,0.187,4.188,FALSE,,,,0,0,0
Wed Feb  1 15:21:47 2017,4.187,0.187,4,FALSE,,,,0,0,0
Wed Feb  1 15:22:47 2017,4.062,0.187,3.875,FALSE,,,,0,0,0
Wed Feb  1 15:23:47 2017,3.937,0.187,3.75,FALSE,,,,0,0,0
Wed Feb  1 15:24:47 2017,3.812,0.187,3.625,FALSE,,,,0,0,0
Wed Feb  1 15:25:47 2017,3.625,0.125,3.5,FALSE,,,,0,0,0
Wed Feb  1 15:26:47 2017,3.562,0.187,3.375,FALSE,,,,0,0,0
Wed Feb  1 15:27:47 2017,3.375,0.187,3.188,FALSE,,,,0,0,0
Wed Feb  1 15:28:47 2017,3.25,0.187,3.063,FALSE,,,,0,0,0
Wed Feb  1 15:29:47 2017,3.125,0.187,2.938,FALSE,,,,0,0,0
Wed Feb  1 15:30:47 2017,3.062,0.187,2.875,FALSE,,,,0,0,0
Wed Feb  1 15:31:48 2017,2.937,0.187,2.75,FALSE,,,,0,0,0
Wed Feb  1 15:32:48 2017,2.812,0.187,2.625,FALSE,,,,0,0,0
Wed Feb  1 15:33:48 2017,2.75,0.187,2.563,FALSE,,,,0,0,0
Wed Feb  1 15:34:48 2017,2.625,0.187,2.438,FALSE,,,,0,0,0
Wed Feb  1 15:35:48 2017,2.562,0.187,2.375,FALSE,,,,0,0,0
Wed Feb  1 15:36:48 2017,2.5,0.187,2.313,FALSE,,,,0,0,0
Wed Feb  1 15:37:48 2017,2.375,0.187,2.188,FALSE,,,,0,0,0
Wed Feb  1 15:38:48 2017,2.312,0.187,2.125,FALSE,,,,0,0,0
Wed Feb  1 15:39:48 2017,2.25,0.187,2.063,FALSE,,,,0,0,0
Wed Feb  1 15:40:48 2017,2.125,0.187,1.938,FALSE,,,,0,0,0
Wed Feb  1 15:41:48 2017,2.062,0.187,1.875,FALSE,,,,0,0,0
Wed Feb  1 15:42:48 2017,2,0.187,1.813,FALSE,,,,0,0,0
Wed Feb  1 15:43:48 2017,1.937,0.187,1.75,FALSE,,,,0,0,0
Wed Feb  1 15:44:48 2017,1.875,0.187,1.688,FALSE,,,,0,0,0
Wed Feb  1 15:45:48 2017,1.812,0.187,1.625,FALSE,,,,0,0,0
Wed Feb  1 15:46:48 2017,1.812,0.187,1.625,FALSE,,,,0,0,0
Wed Feb  1 15:47:48 2017,1.75,0.187,1.563,FALSE,,,,0,0,0
Wed Feb  1 15:48:48 2017,1.687,0.25,1.437,FALSE,,,,0,0,0
Wed Feb  1 15:49:48 2017,1.625,0.187,1.438,FALSE,,,,0,0,0
Wed Feb  1 15:50:48 2017,1.562,0.187,1.375,FALSE,,,,0,0,0
Wed Feb  1 15:51:48 2017,1.5,0.25,1.25,FALSE,,,,0,0,0
Wed Feb  1 15:52:48 2017,1.5,0.25,1.25,FALSE,,,,0,0,0
Wed Feb  1 15:53:48 2017,1.437,0.25,1.187,FALSE,,,,0,0,0
Wed Feb  1 15:54:48 2017,1.375,0.25,1.125,FALSE,,,,0,0,0
Wed Feb  1 15:55:48 2017,1.375,0.25,1.125,FALSE,,,,0,0,0
Wed Feb  1 15:56:48 2017,1.312,0.187,1.125,FALSE,,,,0,0,0
Wed Feb  1 15:57:48 2017,1.312,0.25,1.062,FALSE,,,,0,0,0
Wed Feb  1 15:58:48 2017,1.25,0.25,1,FALSE,,,,0,0,0
Wed Feb  1 15:59:48 2017,1.187,0.25,0.937,FALSE,,,,0,0,0
Wed Feb  1 16:00:48 2017,1.187,0.25,0.937,FALSE,,,,0,0,0
Wed Feb  1 16:01:48 2017,1.187,0.25,0.937,FALSE,,,,0,0,0
Wed Feb  1 16:02:48 2017,1.125,0.25,0.875,FALSE,,,,0,0,0
Wed Feb  1 16:03:48 2017,1.125,0.25,0.875,FALSE,,,,0,0,0
Wed Feb  1 16:04:48 2017,1.125,0.187,0.938,FALSE,,,,0,0,0
Wed Feb  1 16:05:48 2017,1.062,0.25,0.812,FALSE,,,,0,0,0
Wed Feb  1 16:06:48 2017,1.062,0.25,0.812,FALSE,,,,0,0,0
Wed Feb  1 16:07:48 2017,1.062,0.25,0.812,FALSE,,,,0,0,0
Wed Feb  1 16:08:48 2017,1,0.25,0.75,FALSE,,,,0,0,0
Wed Feb  1 16:09:48 2017,1,0.25,0.75,FALSE,,,,0,0,0
Wed Feb  1 16:10:48 2017,1,0.25,0.75,FALSE,,,,0,0,0
Wed Feb  1 16:11:48 2017,0.937,0.25,0.687,FALSE,,,,0,0,0
Wed Feb  1 16:12:48 2017,0.937,0.25,0.687,FALSE,,,,0,0,0
Wed Feb  1 16:13:48 2017,0.937,0.25,0.687,FALSE,,,,0,0,0
Wed Feb  1 16:14:49 2017,0.937,0.312,0.625,FALSE,,,,0,0,0
Wed Feb  1 16:15:49 2017,0.875,0.25,0.625,FALSE,,,,0,0,0
