Day of month,Date,Vent Temperature,Ambient Temperature,Difference in Temperature,Vent Open/Closed,Power(W),Energy(kWh),Total Energy(kWh)
28,"Mar 28, 2017 00:00:32",0.375,0.937,0.562,False,0,0,0
28,"Mar 28, 2017 00:01:32",0.312,0.937,0.625,False,0,0,0
28,"Mar 28, 2017 00:02:32",0.375,0.937,0.562,False,0,0,0
28,"Mar 28, 2017 00:03:32",0.312,0.937,0.625,False,0,0,0
28,"Mar 28, 2017 00:04:32",0.375,0.937,0.562,False,0,0,0
28,"Mar 28, 2017 00:05:32",0.312,0.937,0.625,False,0,0,0
28,"Mar 28, 2017 00:06:32",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:07:32",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:08:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:09:33",0.312,0.937,0.625,False,0,0,0
28,"Mar 28, 2017 00:10:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:11:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:12:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:13:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:14:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:15:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:16:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:17:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:18:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:19:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:20:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:21:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:22:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:23:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:24:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:25:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:26:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:27:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:28:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:29:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:30:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:31:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:32:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:33:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:34:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:35:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:36:33",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:37:34",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:38:34",0.25,0.875,0.625,False,0,0,0
28,"Mar 28, 2017 00:39:34",0.312,0.875,0.563,False,0,0,0
28,"Mar 28, 2017 00:40:34",0.312,0.812,0.5,False,0,0,0
28,"Mar 28, 2017 00:41:34",0.25,0.875,0.625,False,0,0,0
28,"Mar 28, 2017 00:42:34",0.25,0.875,0.625,False,0,0,0
