Day of month,Date,Vent Temperature,Ambient Temperature,Difference in Temperature,Vent Open/Closed,Power(W),Energy(kWh),Total Energy(kWh)
20,"Mar 20, 2017 16:11:17",22.687,20.937,1.75,False,0,0,0,Program has started
20,"Mar 20, 2017 16:11:21",22.687,20.937,1.75,True,92.531,0.0,0
20,"Mar 20, 2017 16:11:23",22.687,20.937,1.75,True,92.531,0.0,0
20,"Mar 20, 2017 16:11:26",22.687,20.937,1.75,True,92.531,0.0,0
20,"Mar 20, 2017 16:11:29",22.75,20.937,1.813,True,95.862,0.0,0
20,"Mar 20, 2017 16:11:35",22.687,20.937,1.75,True,92.531,0.0,0
20,"Mar 20, 2017 16:11:38",22.75,20.937,1.813,True,95.862,0.0,0
20,"Mar 20, 2017 16:11:41",22.687,20.937,1.75,True,92.531,0.0,0
20,"Mar 20, 2017 16:11:44",22.75,20.937,1.813,True,95.862,0.0,0
20,"Mar 20, 2017 16:11:47",22.75,20.937,1.813,True,95.862,0.0,0
20,"Mar 20, 2017 16:11:49",22.75,20.937,1.813,True,95.862,0.0,0
20,"Mar 20, 2017 16:11:52",22.75,20.937,1.813,True,95.862,0.0,0
20,"Mar 20, 2017 16:11:55",22.75,20.937,1.813,True,95.862,0.0,0
20,"Mar 20, 2017 16:11:59",22.75,20.937,1.813,True,95.862,0.0,0
20,"Mar 20, 2017 16:12:01",22.75,20.937,1.813,True,95.862,0.0,0
20,"Mar 20, 2017 16:12:04",22.75,20.937,1.813,True,95.862,0.0,0
20,"Mar 20, 2017 16:12:07",22.75,20.937,1.813,True,95.862,0.0,0
20,"Mar 20, 2017 16:12:10",22.75,20.937,1.813,True,95.862,0.0,0
20,"Mar 20, 2017 16:12:12",22.75,20.937,1.813,True,95.862,0.0,0
20,"Mar 20, 2017 16:12:15",22.75,20.937,1.813,True,95.862,0.0,0
20,"Mar 20, 2017 16:12:19",22.75,20.937,1.813,True,95.862,0.0,0
20,"Mar 20, 2017 16:12:22",22.75,20.937,1.813,True,95.862,0.0,0
20,"Mar 20, 2017 16:12:24",22.75,20.937,1.813,True,95.862,0.0,0
20,"Mar 20, 2017 16:12:27",22.75,20.937,1.813,True,95.862,0.0,0
20,"Mar 20, 2017 16:12:30",22.75,20.937,1.813,True,95.862,0.0,0
20,"Mar 20, 2017 16:12:33",22.75,20.937,1.813,True,95.862,0.0,0
20,"Mar 20, 2017 16:12:35",22.75,20.937,1.813,True,95.862,0.0,0
20,"Mar 20, 2017 16:12:38",22.75,20.937,1.813,True,95.862,0.0,0
20,"Mar 20, 2017 16:12:41",22.75,20.937,1.813,True,95.862,0.0,0
20,"Mar 20, 2017 16:12:44",22.75,20.937,1.813,True,95.862,0.0,0
20,"Mar 20, 2017 16:12:54",22.75,20.937,1.813,False,0,0,0.0
20,"Mar 20, 2017 16:13:04",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:13:14",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:13:24",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:13:34",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:13:45",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:13:54",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:14:04",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:14:14",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:14:24",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:14:34",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:14:44",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:14:55",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:15:04",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:15:14",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:15:24",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:15:35",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:15:45",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:15:55",22.687,20.937,1.75,False,0,0,0
20,"Mar 20, 2017 16:16:05",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:16:15",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:16:25",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:16:35",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:16:45",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:16:55",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:17:05",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:17:15",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:17:25",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:17:35",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:17:45",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:18:15",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:18:45",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:19:15",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:19:46",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:20:16",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:20:46",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:21:16",22.687,20.937,1.75,False,0,0,0
20,"Mar 20, 2017 16:21:46",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:22:16",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:22:46",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:23:16",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:23:46",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:24:16",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:24:46",22.75,20.937,1.813,False,0,0,0
20,"Mar 20, 2017 16:25:16",22.812,20.937,1.875,False,0,0,0
20,"Mar 20, 2017 16:25:46",22.812,20.937,1.875,False,0,0,0
20,"Mar 20, 2017 16:26:16",22.812,20.937,1.875,False,0,0,0
20,"Mar 20, 2017 16:26:46",22.812,20.937,1.875,False,0,0,0
20,"Mar 20, 2017 16:27:17",22.812,21.0,1.812,False,0,0,0
20,"Mar 20, 2017 16:27:47",22.812,21.0,1.812,False,0,0,0
20,"Mar 20, 2017 16:28:47",22.812,20.937,1.875,False,0,0,0
20,"Mar 20, 2017 16:29:47",22.812,20.937,1.875,False,0,0,0
20,"Mar 20, 2017 16:33:00",22.75,20.875,1.875,False,0,0,0,Program has started
20,"Mar 20, 2017 16:34:01",22.75,20.875,1.875,False,0,0,0
20,"Mar 20, 2017 16:35:33",22.687,20.812,1.875,False,0,0,0,Program has started
