Day of month,Date,Vent Temperature,Ambient Temperature,Difference in Temperature,Vent Open/Closed,Power(W),Energy(kWh),Total Energy(kWh)
26,"Mar 26, 2017 18:35:00",23.062,21.5,1.562,True,82.591,4.438,0
26,"Mar 26, 2017 18:35:02",23.062,21.5,1.562,True,82.591,4.438,0
26,"Mar 26, 2017 18:35:05",23.125,21.5,1.625,True,85.922,4.438,0
26,"Mar 26, 2017 18:35:08",23.125,21.5,1.625,True,85.922,4.438,0
26,"Mar 26, 2017 18:35:11",23.125,21.5,1.625,True,85.922,4.438,0
26,"Mar 26, 2017 18:35:13",23.125,21.5,1.625,True,85.922,4.438,0
26,"Mar 26, 2017 18:35:16",23.062,21.5,1.562,True,82.591,4.438,0
26,"Mar 26, 2017 18:35:19",23.062,21.562,1.5,True,79.313,4.438,0
26,"Mar 26, 2017 18:35:22",23.062,21.5,1.562,True,82.591,4.438,0
26,"Mar 26, 2017 18:35:24",23.0,21.5,1.5,True,79.313,4.438,0
26,"Mar 26, 2017 18:35:27",23.0,21.5,1.5,True,79.313,4.439,0
26,"Mar 26, 2017 18:35:30",23.0,21.5,1.5,True,79.313,4.439,0
26,"Mar 26, 2017 18:35:33",23.0,21.5,1.5,True,79.313,4.439,0
26,"Mar 26, 2017 18:35:36",23.0,21.562,1.438,True,76.034,4.439,0
26,"Mar 26, 2017 18:35:38",23.0,21.5,1.5,True,79.313,4.439,0
26,"Mar 26, 2017 18:35:41",23.062,21.5,1.562,True,82.591,4.439,0
26,"Mar 26, 2017 18:35:50",23.0,21.5,1.5,False,0,0,4.439
26,"Mar 26, 2017 18:36:00",23.0,21.5,1.5,False,0,0,0
26,"Mar 26, 2017 18:36:10",22.937,21.5,1.437,False,0,0,0
26,"Mar 26, 2017 18:36:20",22.937,21.5,1.437,False,0,0,0
