Day of month,Date,Vent Temperature,Ambient Temperature,Difference in Temperature,Vent Open/Closed,Power(W),Energy(kWh),Total Energy(kWh)
27,"Mar 27, 2017 00:00:41",3.187,3.187,0.0,False,0,0,0
27,"Mar 27, 2017 00:01:41",3.187,3.125,0.062,False,0,0,0
27,"Mar 27, 2017 00:02:41",3.125,3.125,0.0,False,0,0,0
27,"Mar 27, 2017 00:03:41",3.125,3.125,0.0,False,0,0,0
27,"Mar 27, 2017 00:04:41",3.125,3.125,0.0,False,0,0,0
27,"Mar 27, 2017 00:05:41",3.125,3.125,0.0,False,0,0,0
27,"Mar 27, 2017 00:06:41",3.125,3.125,0.0,False,0,0,0
27,"Mar 27, 2017 00:07:41",3.125,3.062,0.063,False,0,0,0
27,"Mar 27, 2017 00:08:41",3.125,3.062,0.063,False,0,0,0
27,"Mar 27, 2017 00:09:41",3.125,3.125,0.0,False,0,0,0
27,"Mar 27, 2017 00:10:41",3.125,3.125,0.0,False,0,0,0
27,"Mar 27, 2017 00:11:41",3.062,3.062,0.0,False,0,0,0
27,"Mar 27, 2017 00:12:41",3.062,3.062,0.0,False,0,0,0
27,"Mar 27, 2017 00:13:41",3.062,3.062,0.0,False,0,0,0
27,"Mar 27, 2017 00:14:41",3.062,3.062,0.0,False,0,0,0
27,"Mar 27, 2017 00:15:41",3.062,3.062,0.0,False,0,0,0
27,"Mar 27, 2017 00:16:41",3.062,3.062,0.0,False,0,0,0
27,"Mar 27, 2017 00:17:42",3.062,3.0,0.062,False,0,0,0
27,"Mar 27, 2017 00:18:42",3.062,3.062,0.0,False,0,0,0
27,"Mar 27, 2017 00:19:42",3.0,3.0,0.0,False,0,0,0
27,"Mar 27, 2017 00:20:42",3.0,3.0,0.0,False,0,0,0
27,"Mar 27, 2017 00:21:42",3.0,3.0,0.0,False,0,0,0
27,"Mar 27, 2017 00:22:42",3.0,3.0,0.0,False,0,0,0
27,"Mar 27, 2017 00:23:42",3.0,3.0,0.0,False,0,0,0
27,"Mar 27, 2017 00:24:42",3.0,3.0,0.0,False,0,0,0
27,"Mar 27, 2017 00:25:42",3.0,2.937,0.063,False,0,0,0
27,"Mar 27, 2017 00:26:42",3.0,3.0,0.0,False,0,0,0
27,"Mar 27, 2017 00:27:42",2.937,3.0,0.063,False,0,0,0
27,"Mar 27, 2017 00:28:42",2.937,3.0,0.063,False,0,0,0
27,"Mar 27, 2017 00:29:42",2.937,3.0,0.063,False,0,0,0
27,"Mar 27, 2017 00:30:42",2.937,3.0,0.063,False,0,0,0
27,"Mar 27, 2017 00:31:42",2.875,3.0,0.125,False,0,0,0
27,"Mar 27, 2017 00:32:42",2.937,3.0,0.063,False,0,0,0
27,"Mar 27, 2017 00:33:42",2.875,3.0,0.125,False,0,0,0
27,"Mar 27, 2017 00:34:42",2.875,3.0,0.125,False,0,0,0
27,"Mar 27, 2017 00:35:42",2.937,2.937,0.0,False,0,0,0
27,"Mar 27, 2017 00:36:42",2.875,3.0,0.125,False,0,0,0
27,"Mar 27, 2017 00:37:42",2.875,2.937,0.062,False,0,0,0
27,"Mar 27, 2017 00:38:42",2.875,2.937,0.062,False,0,0,0
27,"Mar 27, 2017 00:39:42",2.875,2.937,0.062,False,0,0,0
27,"Mar 27, 2017 00:40:42",2.875,2.937,0.062,False,0,0,0
27,"Mar 27, 2017 00:41:42",2.875,2.937,0.062,False,0,0,0
27,"Mar 27, 2017 00:42:43",2.875,2.937,0.062,False,0,0,0
27,"Mar 27, 2017 00:43:43",2.812,2.937,0.125,False,0,0,0
27,"Mar 27, 2017 00:44:43",2.812,2.937,0.125,False,0,0,0
27,"Mar 27, 2017 00:45:43",2.812,2.937,0.125,False,0,0,0
27,"Mar 27, 2017 00:46:43",2.875,2.875,0.0,False,0,0,0
