Day of month,Date,Vent Temperature,Ambient Temperature,Difference in Temperature,Vent Open/Closed,Power(W),Energy(kWh),Total Energy(kWh)
21,"Mar 21, 2017 16:28:48",21.312,21.687,0.375,True,-19.828,-0.0,0,Program has started
21,"Mar 21, 2017 16:28:51",21.312,21.687,0.375,True,-19.828,-0.0,0
21,"Mar 21, 2017 16:28:55",21.312,21.687,0.375,True,-19.828,-0.0,0
21,"Mar 21, 2017 16:28:57",21.312,21.687,0.375,True,-19.828,-0.0,0
21,"Mar 21, 2017 16:29:00",21.312,21.687,0.375,True,-19.828,-0.0,0
21,"Mar 21, 2017 16:29:03",21.312,21.687,0.375,True,-19.828,-0.0,0
21,"Mar 21, 2017 16:29:06",21.375,21.687,0.312,True,-16.497,-0.0,0
21,"Mar 21, 2017 16:29:08",21.375,21.687,0.312,True,-16.497,-0.0,0
21,"Mar 21, 2017 16:29:11",21.375,21.75,0.375,True,-19.828,-0.0,0
21,"Mar 21, 2017 16:29:14",21.375,21.75,0.375,True,-19.828,-0.0,0
21,"Mar 21, 2017 16:29:17",21.375,21.75,0.375,True,-19.828,-0.0,0
21,"Mar 21, 2017 16:29:19",21.375,21.687,0.312,True,-16.497,-0.0,0
21,"Mar 21, 2017 16:29:22",21.375,21.75,0.375,True,-19.828,-0.0,0
21,"Mar 21, 2017 16:29:25",21.375,21.687,0.312,True,-16.497,-0.0,0
21,"Mar 21, 2017 16:29:28",21.375,21.75,0.375,True,-19.828,-0.0,0
21,"Mar 21, 2017 16:29:31",21.375,21.687,0.312,True,-16.497,-0.0,0
21,"Mar 21, 2017 16:29:33",21.375,21.75,0.375,True,-19.828,-0.0,0
21,"Mar 21, 2017 16:29:36",21.375,21.687,0.312,True,-16.497,-0.0,0
21,"Mar 21, 2017 16:29:39",21.375,21.75,0.375,True,-19.828,-0.0,0
21,"Mar 21, 2017 16:29:42",21.437,21.75,0.313,True,-16.55,-0.0,0
21,"Mar 21, 2017 16:29:44",21.437,21.75,0.313,True,-16.55,-0.0,0
21,"Mar 21, 2017 16:29:47",21.437,21.75,0.313,True,-16.55,-0.0,0
21,"Mar 21, 2017 16:29:50",21.437,21.75,0.313,True,-16.55,-0.0,0
