Time,Date,Temperature 1,Temperature 2,Difference
22:7:0,17/10/2016,22.625,22.437,0.188
22:7:7,17/10/2016,22.625,22.437,0.188
22:7:14,17/10/2016,22.625,22.437,0.188
22:7:21,17/10/2016,22.625,22.437,0.188
22:7:28,17/10/2016,22.625,22.437,0.188
22:7:35,17/10/2016,22.625,22.437,0.188
22:7:42,17/10/2016,22.625,22.437,0.188
22:7:49,17/10/2016,22.625,22.437,0.188
22:7:55,17/10/2016,22.562,22.437,0.125
22:8:51,17/10/2016,22.562,22.437,0.125
22:8:58,17/10/2016,22.562,22.437,0.125
22:9:4,17/10/2016,22.562,22.437,0.125
22:9:11,17/10/2016,22.562,22.437,0.125
22:9:18,17/10/2016,22.562,22.437,0.125
22:9:25,17/10/2016,22.562,22.437,0.125
22:9:32,17/10/2016,22.562,22.437,0.125
22:9:39,17/10/2016,22.562,22.437,0.125
22:9:46,17/10/2016,22.625,22.5,0.125
22:9:53,17/10/2016,22.625,22.5,0.125
22:9:58,17/10/2016,22.625,22.5,0.125
22:10:0,17/10/2016,22.625,22.5,0.125
22:10:2,17/10/2016,22.625,22.5,0.125
22:10:4,17/10/2016,22.625,22.5,0.125
22:10:6,17/10/2016,22.625,22.5,0.125
22:10:8,17/10/2016,22.625,22.5,0.125
22:10:10,17/10/2016,22.625,22.5,0.125
22:10:11,17/10/2016,22.625,22.5,0.125
22:10:14,17/10/2016,22.625,22.5,0.125
22:10:16,17/10/2016,22.625,22.5,0.125
22:10:18,17/10/2016,22.625,22.5,0.125
22:10:20,17/10/2016,22.625,22.5,0.125
22:10:22,17/10/2016,22.625,22.5,0.125
22:10:25,17/10/2016,22.625,22.5,0.125
22:10:26,17/10/2016,22.625,22.5,0.125
22:10:29,17/10/2016,22.625,22.5,0.125
22:10:31,17/10/2016,22.625,22.5,0.125
22:10:33,17/10/2016,22.625,22.5,0.125
22:10:35,17/10/2016,22.625,22.5,0.125
22:10:37,17/10/2016,22.625,22.5,0.125
22:10:39,17/10/2016,22.625,22.5,0.125
22:10:40,17/10/2016,22.625,22.5,0.125
22:10:42,17/10/2016,22.625,22.5,0.125
22:10:44,17/10/2016,22.625,22.5,0.125
22:10:47,17/10/2016,22.625,22.5,0.125
22:10:49,17/10/2016,22.625,22.5,0.125
22:10:51,17/10/2016,22.625,22.5,0.125
22:10:53,17/10/2016,22.625,22.5,0.125
22:10:54,17/10/2016,22.687,22.5,0.187
22:10:56,17/10/2016,22.687,22.5,0.187
22:10:58,17/10/2016,22.625,22.5,0.125
22:11:0,17/10/2016,22.625,22.5,0.125
22:11:2,17/10/2016,22.625,22.5,0.125
22:11:4,17/10/2016,22.687,22.5,0.187
22:11:6,17/10/2016,22.687,22.5,0.187
22:11:8,17/10/2016,22.687,22.5,0.187
22:11:10,17/10/2016,22.687,22.562,0.125
22:11:11,17/10/2016,22.687,22.5,0.187
22:11:13,17/10/2016,22.625,22.562,0.063
22:11:16,17/10/2016,22.687,22.5,0.187
22:11:19,17/10/2016,22.687,22.5,0.187
22:11:21,17/10/2016,22.687,22.5,0.187
22:11:23,17/10/2016,22.625,22.5,0.125
22:11:25,17/10/2016,22.687,22.5,0.187
22:11:26,17/10/2016,22.687,22.5,0.187
22:11:28,17/10/2016,22.687,22.5,0.187
22:11:30,17/10/2016,22.687,22.5,0.187
22:11:32,17/10/2016,22.687,22.5,0.187
22:11:35,17/10/2016,22.687,22.5,0.187
22:11:38,17/10/2016,22.687,22.5,0.187
22:11:40,17/10/2016,22.687,22.5,0.187
22:11:42,17/10/2016,22.687,22.562,0.125
22:11:43,17/10/2016,22.687,22.5,0.187
22:11:45,17/10/2016,22.687,22.5,0.187
22:11:47,17/10/2016,22.687,22.5,0.187
22:11:49,17/10/2016,22.687,22.5,0.187
22:11:52,17/10/2016,22.687,22.5,0.187
22:11:54,17/10/2016,22.687,22.5,0.187
22:11:56,17/10/2016,22.687,22.5,0.187
22:11:58,17/10/2016,22.687,22.562,0.125
22:12:0,17/10/2016,22.687,22.5,0.187
22:12:2,17/10/2016,22.687,22.562,0.125
22:12:4,17/10/2016,22.687,22.5,0.187
22:12:5,17/10/2016,22.687,22.562,0.125
22:12:7,17/10/2016,22.687,22.562,0.125
22:12:11,17/10/2016,22.687,22.562,0.125
22:12:13,17/10/2016,22.687,22.5,0.187
22:12:15,17/10/2016,22.687,22.562,0.125
22:12:17,17/10/2016,22.687,22.562,0.125
22:12:18,17/10/2016,22.687,22.5,0.187
22:12:20,17/10/2016,22.687,22.562,0.125
22:12:22,17/10/2016,22.687,22.562,0.125
22:12:24,17/10/2016,22.687,22.562,0.125
22:12:26,17/10/2016,22.687,22.562,0.125
22:12:29,17/10/2016,22.687,22.562,0.125
22:12:31,17/10/2016,22.687,22.5,0.187
22:18:10,17/10/2016,22.5,22.312,0.188
22:18:22,17/10/2016,22.5,22.312,0.188
22:18:34,17/10/2016,22.5,22.312,0.188
22:18:46,17/10/2016,22.437,22.312,0.125
22:18:57,17/10/2016,22.437,22.312,0.125
22:19:9,17/10/2016,22.437,22.312,0.125
22:19:21,17/10/2016,22.437,22.312,0.125
22:20:11,17/10/2016,22.437,22.312,0.125
22:20:22,17/10/2016,22.437,22.312,0.125
22:20:34,17/10/2016,22.437,22.312,0.125
22:20:46,17/10/2016,22.437,22.312,0.125
22:20:57,17/10/2016,22.437,22.312,0.125
22:21:9,17/10/2016,22.437,22.312,0.125
22:21:21,17/10/2016,22.437,22.312,0.125
22:21:34,17/10/2016,22.437,22.312,0.125
22:22:13,17/10/2016,22.437,22.312,0.125
22:22:15,17/10/2016,22.437,22.312,0.125
22:22:17,17/10/2016,22.437,22.312,0.125
22:22:19,17/10/2016,22.437,22.312,0.125
22:22:20,17/10/2016,22.437,22.312,0.125
22:22:22,17/10/2016,22.437,22.312,0.125
22:22:24,17/10/2016,22.437,22.25,0.187
22:22:26,17/10/2016,22.437,22.25,0.187
22:22:28,17/10/2016,22.375,22.25,0.125
